FID,OBJECTID,SHAPE,BEZIRK,STRNAM,ONRTXT,NUMMER,TELEFON,WEITERE_INFORMATION,SE_ANNO_CAD_DATA
HUNDESACKERLOGD.66344556,66344556,POINT (16.359757871187565 48.21861447820676),9,Thurngasse,6,1206,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.66344557,66344557,POINT (16.31000646439528 48.22740168513298),17,Alszeile ,28,1126,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.66344558,66344558,POINT (16.309914213468932 48.22563545530104),17,Hernalser Hauptstraße,220-222,2281,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.66344559,66344559,POINT (16.304368679844913 48.22747327266438),17,Dornbacher Straße,20-26,2310,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.66344560,66344560,POINT (16.290751301075975 48.234125109338855),17,Dornbacherstraße,ggü. 120,3184,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.66344561,66344561,POINT (16.340591500614664 48.21189257004397),8,Uhlplatz,,0103,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.66344562,66344562,POINT (16.33529771752248 48.24490268166203),19,Trautenauplatz,15,2442,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.66344563,66344563,POINT (16.35437818591369 48.21162046787349),8,Tuplengasse,# Wickenburggasse,1117,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.66344564,66344564,POINT (16.32171218606823 48.156898216796435),23,Wilhelm Erben Gasse,41-43,3695,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.66344565,66344565,POINT (16.365109455313302 48.25385836491909),19,Heiligenstädter Straße,90,2953,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.66344566,66344566,POINT (16.291400268646264 48.23364448030573),17,Dornbacher Straße,110,3525,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.66344567,66344567,POINT (16.520360177683234 48.23395450959303),22,Burgkmairgasse,43,2889,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
