FID,OBJECTID,SHAPE,BEZIRK,STRNAM,ONRTXT,NUMMER,TELEFON,WEITERE_INFORMATION,SE_ANNO_CAD_DATA
HUNDESACKERLOGD.66345019,66345019,POINT (16.31906732553789 48.22460327552676),17,Leopold-Kunschak-Platz,(Beim Friedhof Hernals),1123,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.66345020,66345020,POINT (16.3775665634554 48.20953330206587),1,Schönlaterngasse,7A,3401,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.66345021,66345021,POINT (16.454822738182482 48.207970349474294),22,Kanalstraße,ggü. 44,3088,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.66345022,66345022,POINT (16.44423917673839 48.22740204959893),22,Lange Allee,81,3776,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.66345023,66345023,POINT (16.434136230872536 48.287984889881336),21,Grellgasse,10,3784,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.66345024,66345024,POINT (16.341841643877252 48.178978191572924),12,Rothkirchgasse,ggü. 2,0129,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.66345025,66345025,POINT (16.383800505219547 48.27954925294753),21,Autokaderstraße,ggü. 38,2076,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.66345026,66345026,POINT (16.385967159625334 48.26477695536094),21,Anton-Störck-Gasse,48,3054,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.66345027,66345027,POINT (16.390346134541993 48.26787638058926),21,Anton-Anderer-Platz,ggü. 1,2080,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.66345028,66345028,POINT (16.38688328759888 48.26824762352702),21,Jeneweingasse,24,0177,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.66345029,66345029,POINT (16.374662616259574 48.27759531857804),21,Wolsteingasse,30,2816,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.66345030,66345030,POINT (16.296208484174084 48.2200032376045),16,Wilhelminenstraße,190,2185,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.66345031,66345031,POINT (16.278079365479595 48.21525170514056),16,Johann-Staud-Straße,ggü. 75,2187,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.66345032,66345032,POINT (16.289644481059717 48.21665814975944),16,Liebhartstalstraße,# Wanriglgasse,2172,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.66345033,66345033,POINT (16.285851992021552 48.207628904425256),16,Reichmanngasse,ggü. 16,0445,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.66345034,66345034,POINT (16.28808488101195 48.21171155724361),16,Hansl-Schmid-Weg,# Demuthgasse,0091,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.66345035,66345035,POINT (16.29107484692145 48.20792585871488),16,Ameisbachzeile,132,2197,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.66345036,66345036,POINT (16.303742694163383 48.22254293922744),16,Liebknechtgasse,# Karl-Metschl-Gasse,2411,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.66345037,66345037,POINT (16.29169274070073 48.21849790837364),16,Paulinensteig,65,2183,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.66345038,66345038,POINT (16.30451483147504 48.2207502699639),16,Baumeistergasse ,# Winterburgergasse,0443,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.66345039,66345039,POINT (16.296243084709094 48.22178589979002),16,Baumeistergasse,# Fuchsenlochweg,2195,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.66345040,66345040,POINT (16.309253544011618 48.217474298225504),16,Wilhelminenstraße,# Odoakergasse,3142,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.66345041,66345041,POINT (16.30720531396147 48.217786566858855),16,Wilhelminenstraße,91,2649,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.66345042,66345042,POINT (16.284570008497507 48.220004614776194),17,Savoyenstraße,2,2648,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.66345043,66345043,POINT (16.483028389496265 48.2454840303989),22,Ziegelhofstraße,# Bibernellenweg,1380,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.66345044,66345044,POINT (16.364141264827246 48.19407269723756),4,Freundgasse,2,2123,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.66345045,66345045,POINT (16.425112234126743 48.23437370042098),22,Eiswerkstraße,18,2935,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.66345046,66345046,POINT (16.375658326535415 48.19014196411094),4,Argentinierstraße,ggü. 47,0288,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.66345047,66345047,POINT (16.370197662788886 48.19285853913925),4,Mayerhofgasse,3,0039,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.66345048,66345048,POINT (16.368422315476845 48.19260214149054),4,Mayerhofgasse,14,0043,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.66345049,66345049,POINT (16.36701047025707 48.19185970531696),4,Wiedner Hauptstraße,# Schaumburggasse,1303,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.66345050,66345050,POINT (16.43959552361041 48.160916603551094),11,Neugebäudestraße,74,3397,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.66345051,66345051,POINT (16.304148585590838 48.21912015083821),16,Roterdstraße,Winterburgergasse,2414,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.66345052,66345052,POINT (16.301072674562462 48.22344176357962),16,Steinmüllergasse,31,3149,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.66345053,66345053,POINT (16.451339142880354 48.27045176737097),21,Herzmanovsky-Orlando-Gasse,ggü. Haberditzlgasse,2829,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.66345054,66345054,POINT (16.388374625306543 48.13619821429206),10,Rosiwalgasse,ggü. 1,3661,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.66345055,66345055,POINT (16.459648233800362 48.229872920720894),22,Miriam-Makeba-Gasse,# Adelheid-Popp-Gasse,3735,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.66345056,66345056,POINT (16.44388953729632 48.19679100202045),2,Aspernallee,5-9,1181,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.66345057,66345057,POINT (16.39964660620289 48.22384070653536),2,Radingerstraße,# Ofnergasse,2564,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.66345058,66345058,POINT (16.396619820882755 48.22836268589229),2,Vosgartenstraße,118,1077,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.66345059,66345059,POINT (16.42053573854035 48.19506420359129),2,Belvedereallee,(Bei Busstation 80A-Lusthaus),1178,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.66345060,66345060,POINT (16.318947347842688 48.21505249530185),16,Familienplatz,ggü. 9,2400,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.66345061,66345061,POINT (16.308686472243377 48.20903811747533),16,Enenkelstraße,7,3000,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.66345062,66345062,POINT (16.309092639907014 48.203749892804666),16,Kendlerstraße,ggü. 38,223,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.66345063,66345063,POINT (16.25578318423429 48.207738869491656),14,Hüttelberggasse,22,3313,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.66345064,66345064,POINT (16.335345844551682 48.18201254082311),12,Migazziplatz,ggü. Höhe Klährgasse,0406,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.66345065,66345065,POINT (16.342894999087093 48.17878239600172),12,Karl-Löwe-Gasse,13,0124,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.66345066,66345066,POINT (16.33749354894624 48.18320746994209),12,Längenfeldgasse,# Duchweg,0409,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.66345067,66345067,POINT (16.33975715254655 48.18283195227451),12,Malfattigasse,# Tichtelgasse,0408,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.66345068,66345068,POINT (16.33841745656592 48.18707384499078),12,Dunklergasse,# Harthausergasse,1042,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.66345069,66345069,POINT (16.33533475885179 48.18492719298214),12,Bruno-Pittermann-Platz,# Stiegerbrücke,1037,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.66345070,66345070,POINT (16.34183446314769 48.17849180011726),12,Reismannhof ,,0121,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.66345071,66345071,POINT (16.337544516250144 48.17977149467833),12,Aßmayergasse,23-35,1301,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.66345072,66345072,POINT (16.333070493451316 48.18032384683072),12,Meidlinger Markt,Stand 113,3602,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.66345073,66345073,POINT (16.326540988275262 48.1784030925523),12,Pohlgasse,19,2011,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.66345074,66345074,POINT (16.409103603769 48.13340175119552),10,Scheunenstraße,ggü. 36,3961,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.66345075,66345075,POINT (16.262542316179502 48.16362664238799),13,Dr.-Schober-Straße,94,2460,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.66345076,66345076,POINT (16.38186303537344 48.271561159512714),21,Audorfgasse,47,3041,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.66345077,66345077,POINT (16.397684756303725 48.268051137107946),21,Horst-Winter-Promenade,,3045,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.66345078,66345078,POINT (16.416312060082582 48.18968975806837),3,Erdbergstraße,# Franzosengraben,3926,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.66345079,66345079,POINT (16.416137587145563 48.174635977271834),11,Simmeriger Hauptstraße,107,3928,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.66345080,66345080,POINT (16.4201153906534 48.17072898149237),11,Simmeringer Hauptstraße,# Fuhrygasse,3927,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.66345081,66345081,POINT (16.452315878712493 48.22200060514605),22,Konstanziagasse,# Stralehnergasse,3981,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.66345082,66345082,POINT (16.34539110599656 48.230808632155025),18,Anastasius-Grün-Gasse,# Gymnasiumstraße,3911,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.66345083,66345083,POINT (16.343958029738403 48.20902003327197),8,Tigergasse,16,0101,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.66345084,66345084,POINT (16.325299989847913 48.19931142619234),15,Tannhäuserplatz,# Preysinggasse,2207,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.66345085,66345085,POINT (16.356953276563047 48.23188557406735),9,Augasse,2-6,3810,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.66345095,66345095,POINT (16.3673253808089 48.210918785301935),1,Am Hof,ggü. 4,1,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.66345096,66345096,POINT (16.362638815458155 48.20731503868812),1,Heldenplatz,ggü. Volksgarten,3,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.66345097,66345097,POINT (16.39146811443992 48.171942816825755),10,Puchsbaumgasse,2,3664,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.66345098,66345098,POINT (16.32965736953983 48.22685183921199),18,Kreuzgasse,83,3223,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.66345099,66345099,POINT (16.337842731454113 48.23191296048412),18,Sternwartestraße,60,2508,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.66345100,66345100,POINT (16.358369240889093 48.20056074454317),6,Windmühlgasse,1,3144,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.66345101,66345101,POINT (16.357099554434438 48.198602742498664),6,Stiegengasse,14,2677,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.66345102,66345102,POINT (16.3587493708688 48.19895134928498),6,Köstlergasse,16,2294,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.66345103,66345103,POINT (16.34303194424988 48.19203645935514),6,Bürgerspitalgasse,1,3167,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.66345104,66345104,POINT (16.344812116704055 48.19258041206289),6,Liniengasse,bei 20,2296,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.66345105,66345105,POINT (16.34714270003813 48.19359247399995),6,Webgasse,# Liniengasse,2154,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.66345106,66345106,POINT (16.408118575983067 48.19851417294861),3,Erdberger Lände,48,1341,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.66345107,66345107,POINT (16.406417572126017 48.19289034049798),3,Würtzlerstraße,25,3400,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.66345108,66345108,POINT (16.380306366242827 48.19010554911574),3,Prinz-Eugen-Straße,ggü. 66,2775,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.66345109,66345109,POINT (16.39269752795807 48.19193427475606),3,Aspangstraße,37,3392,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.66345110,66345110,POINT (16.30789861415933 48.25256074090525),19,Agnesgasse,# Mitterwurzergasse,3566,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.66345111,66345111,POINT (16.274778310319334 48.20351445182417),14,Pausingergasse,1,3310,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.66345112,66345112,POINT (16.342905848275034 48.154869898171526),10,Fürstenhoferstraße,ggü. 20,2103,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.66345113,66345113,POINT (16.267937920628746 48.18192134135545),13,Josef-Gangl-Gasse,ggü. 17,3614,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.66345114,66345114,POINT (16.375506605578877 48.17478413528419),10,Senefeldergasse,27,3652,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.66345116,66345116,POINT (16.3289821904707 48.21645321514951),17,Geblergasse,ggü. 78,2269,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.66345117,66345117,POINT (16.330122286312626 48.2164610145456),17,Ortliebgasse,ggü. 30 ,1143,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.66345118,66345118,POINT (16.337322745267894 48.216207215207504),17,Geblergasse,28,3212,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.66345119,66345119,POINT (16.48390519646234 48.233822682051716),22,Guido-Lammer-Gasse,# Hasibederstraße,0485,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.66345120,66345120,POINT (16.48485206702286 48.22740263651477),22,Hausfeldstraße,# An den alten Schanze,2741,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.66345121,66345121,POINT (16.400073368338322 48.19374410355067),3,Petrusgasse,7,1312,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.66345122,66345122,POINT (16.401245839211764 48.192696676825676),3,Paulusplatz,,2367,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.66345123,66345123,POINT (16.407290433802057 48.1914692394439),3,Baumgasse,60,3395,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.66345125,66345125,POINT (16.262831372306604 48.15213676204612),23,Schmiedeckgasse,2,3559,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.66345126,66345126,POINT (16.286241775805873 48.15510670241072),23,Tullnertalgasse,# Ruzickagasse,1295,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.66345127,66345127,POINT (16.250411118146793 48.13483844369383),23,Haselbrunnerstraße,19,3477,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.66345128,66345128,POINT (16.298131295570588 48.23533077566098),17,Anton-Haidl-Gasse,ggü 19,3678,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.66345129,66345129,POINT (16.375154744471082 48.245150439359236),20,Forsthausgasse,,0359,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.66345130,66345130,POINT (16.39150284847296 48.23286281882703),20,Innstraße,ggü. Vorgartenstraße,0365,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.66345131,66345131,POINT (16.38443860214277 48.238003860034176),20,Allerheiligenplatz,ggü. 3,2991,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.66345132,66345132,POINT (16.376454761237966 48.24130896862977),20,Meldemannstraße,# Schottenaustraße,1189,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.66345133,66345133,POINT (16.371893508394102 48.22942484274827),20,Wallensteinplatz,(in Achse Karl-Meißl-Straße 2),0376,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.66345134,66345134,POINT (16.366943889879476 48.23088146309239),20,Klosterneuburger Straße,44,0380,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.66345135,66345135,POINT (16.367352556641812 48.17765673326912),10,Erlachgasse,121,3653,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.66345136,66345136,POINT (16.37291234134689 48.23728309524958),20,Stromstraße,ggü. Hartlgasse,0371,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.66345137,66345137,POINT (16.36711876347434 48.176139497114654),10,Quellenstraße,114,3654,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.66345138,66345138,POINT (16.359887898974108 48.17652131033266),10,Quellenstraße,203,3656,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.66345139,66345139,POINT (16.412114208122006 48.27589054338791),21,Reisgasse,4,2052,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.66345140,66345140,POINT (16.415607546425544 48.27772141021513),21,Marco-Polo-Promenade,# Skraupstraße,0188,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.66345141,66345141,POINT (16.415689586466538 48.27991111276487),21,Carabelligasse,26,2835,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.66345142,66345142,POINT (16.260441525393592 48.17249399643066),13,Joseph-Lister-Gasse,92,1017,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.66345143,66345143,POINT (16.272653572776907 48.157696376543214),13,Hedy-Urach-Gasse,# Streitmanngasse ,0454,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.66345144,66345144,POINT (16.304348525094426 48.19391044881313),14,Matznergasse,2,3305,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.66345145,66345145,POINT (16.30279724215587 48.200962074385394),14,Spallartgasse,# Leyserstraße,3315,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.66345146,66345146,POINT (16.297198775391447 48.1973365637505),14,Hütteldorfer Straße,201,0161,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.66345147,66345147,POINT (16.30295306857423 48.20243239573482),14,Breitenseer Straße,86,2381,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.66345148,66345148,POINT (16.29856716435148 48.20378900941051),14,Rudolf-Pöch-Gasse,1,0168,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.66345149,66345149,POINT (16.29928418101688 48.20054600040127),14,Gottfried-Alber-Gasse,2,0306,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.66345150,66345150,POINT (16.298252544977107 48.19429976291274),14,Linzer Straße,#Rottstraße,1476,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.66345151,66345151,POINT (16.307072140031977 48.196008384361235),14,Goldschlagstraße,148-158,0237,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.66345152,66345152,POINT (16.3078794719405 48.19681259013627),14,Drechslergasse,ggü. 32,0305,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.66345153,66345153,POINT (16.30219651944032 48.193689724084784),14,Linzer Straße,100A,1409,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
